0.05187559s, 0.00805874s, 0.00021546s, 0.04360138s, 279.59MB
0.04953063s, 0.00838690s, 0.00011879s, 0.04102494s, 279.85MB
0.05301552s, 0.00817475s, 0.00021912s, 0.04462165s, 279.85MB
0.04677933s, 0.00419382s, 0.00013130s, 0.04245420s, 280.88MB
0.05255232s, 0.00854832s, 0.00010569s, 0.04389832s, 281.39MB
0.04716337s, 0.00666931s, 0.00020905s, 0.04028501s, 281.65MB
0.04781078s, 0.00525492s, 0.00024738s, 0.04230848s, 281.65MB
0.04978549s, 0.00602780s, 0.00011387s, 0.04364381s, 282.43MB
0.05098648s, 0.00645784s, 0.00020550s, 0.04432314s, 282.43MB
0.06285307s, 0.00832591s, 0.00019435s, 0.05433280s, 283.20MB
0.05272019s, 0.00796720s, 0.00020605s, 0.04454693s, 283.97MB
0.05193682s, 0.00558780s, 0.00027990s, 0.04606912s, 284.75MB
0.05246428s, 0.00806395s, 0.00022769s, 0.04417264s, 284.75MB
0.05328239s, 0.00832627s, 0.00010342s, 0.04485269s, 284.75MB
0.05962917s, 0.00833347s, 0.00019941s, 0.05109629s, 285.00MB
0.08631883s, 0.00826552s, 0.00023684s, 0.07781647s, 284.87MB
0.05466293s, 0.00803966s, 0.00011754s, 0.04650573s, 285.64MB
0.05588910s, 0.00832310s, 0.00010496s, 0.04746105s, 286.68MB
0.05798923s, 0.00861710s, 0.00009843s, 0.04927370s, 287.45MB
0.05779996s, 0.00347536s, 0.00010444s, 0.05422016s, 286.96MB
0.05977347s, 0.00320729s, 0.00009477s, 0.05647141s, 286.96MB
0.05980322s, 0.00829272s, 0.00020544s, 0.05130506s, 287.99MB
0.06439410s, 0.00748020s, 0.00023444s, 0.05667946s, 287.60MB
0.06342188s, 0.00892600s, 0.00023881s, 0.05425708s, 289.40MB
0.05502406s, 0.00850800s, 0.00010324s, 0.04641281s, 289.40MB
0.05903766s, 0.00829452s, 0.00009964s, 0.05064350s, 287.99MB
0.05504755s, 0.00818910s, 0.00009352s, 0.04676493s, 290.05MB
0.06362712s, 0.00459377s, 0.00016770s, 0.05886564s, 290.05MB
0.05585348s, 0.00813456s, 0.00022535s, 0.04749356s, 290.05MB
0.04923771s, 0.00330443s, 0.00010939s, 0.04582389s, 291.09MB
0.04940960s, 0.00329875s, 0.00010306s, 0.04600779s, 291.34MB
0.05698023s, 0.00893392s, 0.00081336s, 0.04723295s, 291.34MB
0.07105503s, 0.00880462s, 0.00031752s, 0.06193289s, 292.12MB
0.05392092s, 0.00853520s, 0.00009286s, 0.04529286s, 292.12MB
0.05263856s, 0.00433736s, 0.00012063s, 0.04818057s, 292.89MB
0.06880988s, 0.00788709s, 0.00024848s, 0.06067430s, 292.57MB
0.05661031s, 0.00822919s, 0.00022098s, 0.04816014s, 293.35MB
0.05632046s, 0.00522227s, 0.00014227s, 0.05095593s, 293.35MB
0.06261390s, 0.00801664s, 0.00025609s, 0.05434117s, 293.86MB
0.05415794s, 0.00439078s, 0.00013299s, 0.04963416s, 293.86MB
0.05767691s, 0.00351715s, 0.00012030s, 0.05403946s, 294.38MB
0.05490449s, 0.00425450s, 0.00015577s, 0.05049422s, 294.89MB
0.06057670s, 0.00656458s, 0.00012335s, 0.05388877s, 294.89MB
0.06209552s, 0.00853289s, 0.00024006s, 0.05332257s, 295.15MB
0.05544841s, 0.00577953s, 0.00026620s, 0.04940268s, 295.15MB
0.06594631s, 0.00640985s, 0.00026142s, 0.05927504s, 295.98MB
0.06225657s, 0.00797128s, 0.00024844s, 0.05403686s, 296.76MB
0.05524563s, 0.00583368s, 0.00017243s, 0.04923952s, 296.76MB
0.05771144s, 0.00558200s, 0.00012958s, 0.05199986s, 297.02MB
0.05227694s, 0.00424243s, 0.00016999s, 0.04786452s, 297.02MB
0.06309455s, 0.00742863s, 0.00018494s, 0.05548098s, 297.27MB
0.06607046s, 0.00747592s, 0.00026532s, 0.05832922s, 298.61MB
0.06388888s, 0.00594827s, 0.00016218s, 0.05777843s, 299.75MB
0.06071565s, 0.00774753s, 0.00027918s, 0.05268894s, 298.75MB
0.06003033s, 0.00464290s, 0.00016300s, 0.05522443s, 299.52MB
0.06166240s, 0.00749845s, 0.00013273s, 0.05403123s, 299.52MB
0.06385631s, 0.00880483s, 0.00026647s, 0.05478501s, 299.78MB
0.05111698s, 0.00429849s, 0.00015649s, 0.04666200s, 300.55MB
0.06111415s, 0.00731357s, 0.00016487s, 0.05363571s, 299.88MB
0.05967637s, 0.00790473s, 0.00029065s, 0.05148098s, 300.65MB
0.05494171s, 0.00476553s, 0.00014874s, 0.05002744s, 299.82MB
0.05245435s, 0.00692914s, 0.00025803s, 0.04526718s, 300.59MB
0.04684740s, 0.00457709s, 0.00020128s, 0.04206904s, 300.59MB
0.05427952s, 0.00619186s, 0.00045241s, 0.04763525s, 300.85MB
0.05437553s, 0.00838066s, 0.00009252s, 0.04590235s, 300.85MB
0.04426029s, 0.00444373s, 0.00013540s, 0.03968115s, 300.85MB
0.04833415s, 0.00816345s, 0.00010915s, 0.04006154s, 300.85MB
0.04389020s, 0.00456334s, 0.00011900s, 0.03920786s, 300.85MB
0.05155454s, 0.00710277s, 0.00035092s, 0.04410086s, 300.85MB
0.05147976s, 0.00834322s, 0.00019621s, 0.04294034s, 300.85MB
0.05030463s, 0.00458657s, 0.00018145s, 0.04553661s, 301.11MB
0.05364688s, 0.00814471s, 0.00021728s, 0.04528489s, 301.11MB
0.04952605s, 0.00421213s, 0.00014758s, 0.04516634s, 301.11MB
0.05067032s, 0.00782628s, 0.00012382s, 0.04272022s, 301.11MB
0.05450109s, 0.00822249s, 0.00013531s, 0.04614329s, 301.62MB
0.04831877s, 0.00551100s, 0.00011724s, 0.04269053s, 301.62MB
0.05412361s, 0.00526743s, 0.00023260s, 0.04862358s, 302.14MB
0.05551930s, 0.00714791s, 0.00011241s, 0.04825898s, 302.14MB
0.05585524s, 0.00715721s, 0.00019234s, 0.04850569s, 302.14MB
0.06001720s, 0.00839226s, 0.00023535s, 0.05138959s, 302.40MB
0.04554364s, 0.00448491s, 0.00014807s, 0.04091066s, 302.40MB
0.06818356s, 0.00792401s, 0.00010051s, 0.06015905s, 302.91MB
0.05242834s, 0.00541672s, 0.00013292s, 0.04687870s, 302.91MB
0.06116844s, 0.00689370s, 0.00015287s, 0.05412187s, 302.91MB
0.06233143s, 0.00770719s, 0.00011043s, 0.05451382s, 302.91MB
0.06040419s, 0.00877144s, 0.00019420s, 0.05143854s, 302.91MB
0.06563652s, 0.00648604s, 0.00024239s, 0.05890809s, 302.91MB
0.05730333s, 0.00589200s, 0.00022728s, 0.05118405s, 303.43MB
0.06367836s, 0.00686945s, 0.00024434s, 0.05656457s, 303.43MB
0.06639383s, 0.00654111s, 0.00025723s, 0.05959548s, 303.95MB
0.06305197s, 0.00820434s, 0.00028125s, 0.05456639s, 303.95MB
0.06317998s, 0.00862829s, 0.00011946s, 0.05443222s, 303.95MB
0.06477175s, 0.00683797s, 0.00013260s, 0.05780119s, 304.46MB
0.06312778s, 0.00829481s, 0.00014228s, 0.05469070s, 304.98MB
0.06578585s, 0.00841740s, 0.00010365s, 0.05726479s, 304.98MB
0.09497230s, 0.00854803s, 0.00019622s, 0.08622806s, 306.27MB
0.06527081s, 0.00340706s, 0.00007632s, 0.06178742s, 306.52MB
0.06004963s, 0.00749775s, 0.00028259s, 0.05226930s, 306.52MB
0.05988907s, 0.00822729s, 0.00009896s, 0.05156282s, 307.04MB
0.07013761s, 0.00679357s, 0.00021202s, 0.06313203s, 307.30MB
0.06761697s, 0.00634339s, 0.00020010s, 0.06107347s, 307.81MB
0.05728932s, 0.00505376s, 0.00022474s, 0.05201082s, 307.81MB
0.06664962s, 0.00348228s, 0.00009708s, 0.06307025s, 308.59MB
0.07183123s, 0.00741421s, 0.00027392s, 0.06414310s, 308.59MB
0.07682550s, 0.00849957s, 0.00010800s, 0.06821793s, 309.10MB
0.06363753s, 0.00855579s, 0.00010383s, 0.05497791s, 309.10MB
0.06077990s, 0.00609807s, 0.00012493s, 0.05455690s, 309.10MB
0.06043710s, 0.00610665s, 0.00011391s, 0.05421653s, 310.13MB
0.05731880s, 0.00550812s, 0.00024675s, 0.05156393s, 310.13MB
0.08118150s, 0.00560987s, 0.00014135s, 0.07543027s, 310.91MB
0.05765138s, 0.00898149s, 0.00010335s, 0.04856653s, 311.16MB
0.06280410s, 0.00682863s, 0.00012612s, 0.05584936s, 311.16MB
0.05816048s, 0.00832007s, 0.00010449s, 0.04973592s, 311.16MB
0.05595784s, 0.00740312s, 0.00010357s, 0.04845115s, 311.16MB
0.06981589s, 0.00824405s, 0.00010553s, 0.06146631s, 311.16MB
0.05764711s, 0.00818464s, 0.00020018s, 0.04926228s, 311.16MB
0.04968264s, 0.00425846s, 0.00014457s, 0.04527961s, 312.45MB
0.09383137s, 0.00818509s, 0.00020945s, 0.08543683s, 312.45MB
0.06414253s, 0.00515773s, 0.00011924s, 0.05886556s, 312.45MB
0.05901044s, 0.00752809s, 0.00021275s, 0.05126960s, 312.45MB
0.05770929s, 0.00423441s, 0.00012899s, 0.05334589s, 312.45MB
0.06715070s, 0.00871362s, 0.00014212s, 0.05829497s, 313.48MB
0.06471593s, 0.00681161s, 0.00021389s, 0.05769043s, 313.48MB
0.13883433s, 0.00462496s, 0.00016421s, 0.13404516s, 317.31MB
0.05034019s, 0.00467168s, 0.00015184s, 0.04551667s, 317.31MB
0.05998731s, 0.00768109s, 0.00028924s, 0.05201698s, 317.31MB
0.05293852s, 0.00435788s, 0.00015264s, 0.04842799s, 317.57MB
0.06190895s, 0.00690482s, 0.00020313s, 0.05480101s, 317.57MB
0.05672557s, 0.00435880s, 0.00012291s, 0.05224385s, 318.09MB
0.07090346s, 0.00763266s, 0.00020486s, 0.06306594s, 318.86MB
0.06408181s, 0.00786051s, 0.00010797s, 0.05611332s, 319.89MB
0.06408830s, 0.00912802s, 0.00017676s, 0.05478351s, 319.89MB
0.05912661s, 0.00822120s, 0.00010368s, 0.05080173s, 319.89MB
0.05589348s, 0.00454561s, 0.00016041s, 0.05118746s, 320.15MB
0.07274007s, 0.00793649s, 0.00022144s, 0.06458214s, 320.66MB
0.06449306s, 0.00810556s, 0.00021373s, 0.05617377s, 320.66MB
0.05817584s, 0.00669092s, 0.00014263s, 0.05134229s, 320.66MB
0.07232471s, 0.00704687s, 0.00023359s, 0.06504426s, 321.70MB
0.06775817s, 0.00346754s, 0.00011575s, 0.06417489s, 321.70MB
0.05807959s, 0.00606447s, 0.00013278s, 0.05188234s, 322.21MB
0.06155170s, 0.00794119s, 0.00022744s, 0.05338307s, 322.47MB
0.05125678s, 0.00432225s, 0.00014382s, 0.04679071s, 322.47MB
0.06021342s, 0.00821289s, 0.00014550s, 0.05185502s, 322.47MB
0.06209255s, 0.00836893s, 0.00011991s, 0.05360371s, 322.73MB
0.05041795s, 0.00434577s, 0.00017918s, 0.04589300s, 322.73MB
0.06957713s, 0.00634948s, 0.00018511s, 0.06304254s, 323.24MB
0.05715512s, 0.00858743s, 0.00027385s, 0.04829383s, 323.50MB
0.05897653s, 0.00717316s, 0.00016708s, 0.05163629s, 323.50MB
0.05781007s, 0.00815341s, 0.00029435s, 0.04936231s, 323.50MB
0.05680703s, 0.00809467s, 0.00024860s, 0.04846376s, 323.50MB
0.05266983s, 0.00842442s, 0.00011640s, 0.04412902s, 323.50MB
0.05099743s, 0.00831625s, 0.00022131s, 0.04245987s, 323.50MB
0.04471435s, 0.00431742s, 0.00014093s, 0.04025600s, 323.50MB
0.05268645s, 0.00559814s, 0.00020727s, 0.04688104s, 324.02MB
0.05049187s, 0.00625784s, 0.00020961s, 0.04402442s, 324.02MB
0.04676192s, 0.00731297s, 0.00022254s, 0.03922642s, 324.27MB
0.06928097s, 0.00740011s, 0.00010246s, 0.06177840s, 324.27MB
0.06880591s, 0.00429544s, 0.00012366s, 0.06438681s, 324.27MB
0.06844538s, 0.00413931s, 0.00015042s, 0.06415565s, 324.27MB
0.06540686s, 0.00361279s, 0.00010924s, 0.06168483s, 324.27MB
0.06822075s, 0.00449101s, 0.00012349s, 0.06360625s, 324.27MB
0.04706853s, 0.00601738s, 0.00022048s, 0.04083067s, 324.27MB
0.05177745s, 0.00786824s, 0.00020688s, 0.04370234s, 324.53MB
0.06925805s, 0.00450080s, 0.00016099s, 0.06459626s, 325.05MB
0.05373583s, 0.00900844s, 0.00024607s, 0.04448132s, 325.05MB
0.04400710s, 0.00443870s, 0.00015036s, 0.03941803s, 325.30MB
0.05563613s, 0.00637132s, 0.00015354s, 0.04911128s, 325.30MB
0.06005576s, 0.00625518s, 0.00011496s, 0.05368562s, 325.30MB
0.06261333s, 0.00530760s, 0.00019392s, 0.05711181s, 325.30MB
0.05616958s, 0.00825711s, 0.00019733s, 0.04771514s, 325.30MB
0.04632674s, 0.00416749s, 0.00011724s, 0.04204201s, 325.56MB
0.06572384s, 0.00825874s, 0.00022953s, 0.05723557s, 325.56MB
0.05828020s, 0.00799812s, 0.00020827s, 0.05007381s, 325.56MB
0.05343241s, 0.00572239s, 0.00013805s, 0.04757197s, 325.56MB
0.05541284s, 0.00817579s, 0.00013628s, 0.04710076s, 325.56MB
0.06020205s, 0.00446259s, 0.00015252s, 0.05558695s, 326.08MB
0.05711851s, 0.00865961s, 0.00010622s, 0.04835268s, 326.08MB
0.05559030s, 0.00839158s, 0.00015090s, 0.04704782s, 326.08MB
0.05342263s, 0.00788032s, 0.00012736s, 0.04541495s, 326.08MB
0.06093832s, 0.00802326s, 0.00016549s, 0.05274957s, 326.08MB
0.05912788s, 0.00807521s, 0.00009149s, 0.05096118s, 326.34MB
0.04919187s, 0.00426057s, 0.00012989s, 0.04480140s, 326.59MB
0.05497072s, 0.00782266s, 0.00037785s, 0.04677021s, 326.59MB
